sno,title,totalCopies,availableCopies
998,Introduction to parrallel computing,7259,1071
999,Software engineering,7260,1072
1000,Software engineering,7261,1073
1001,Software engineering theory Practise,7262,1074
1002,Software engineering theory Practise,7263,1075
1003,Hand book of computer science,7264,1076
1004,Hand book of computer science,7265,1077
1005,cyber Laws,7266,1078
1006,cyber Laws,7267,1079
1007,Software engineering,7272,1080
1008,Software engineering,7273,1081
1009,Software engineering,7274,1082
1010,Software engineering,7275,1083
1011,Biometric for network security,7276,1084
1012,Andriod wireless application ,7280,1085
1013,Andriod wireless application ,7281,1086
1014,Andriod wireless application ,7282,1087
1015,APPLICATIONS OF CRYPTOGRAPHY AND NETWORK SECURITY,7304,1088
1016,ARTIFICIAL INTELLIGENCE AND NETWORK SECURITY,7305,1089
1017,ARTIFICIAL INTELLIGENCE AND NETWORK SECURITY,7306,1090
1018,APPLIED PATTERN RECOGNITION,7307,1091
1019,BIOINFORMATICS,7372,1092
1020,OPERATING SYSTEM DESIGN,7373,1093
1021,LET US �C�,7427,1094
1022,LET US �C�,7428,1095
1023,LET US �C�,7429,1096
1024,LET US �C�,7430,1097
1025,DATA STRUCTURES AND ALGORITHMS USING C+++,7431,1098
1026,DATA STRUCTURES AND ALGORITHMS USING C+++,7432,1099
1027,OPERATING SYSTEMS,7452,1100
1028,NETWORK SECURITY AND CRYPTOGRAPHY,7554,1101
1029,THEORY OF COMPUTATION,7555,1102
1030,CLOUD COMPUTING AND VIRTUALIZATION,7556,1103
1031,DOT NET TECHNOLOGY,7557,1104
1032,COMPUTER GRAPHICS 3RD ED.,7558,1105
1033,COMPUTER GRAPHICS 3RD ED.,7559,1106
1034,COMPUTER SYSTEM ARCHITECTURE,7560,1107
1035,COMPUTER SYSTEM ARCHITECTURE,7561,1108
1036,COMPUTER SYSTEM ARCHITECTURE,7562,1109
1037,COMPUTER SYSTEM ARCHITECTURE,7563,1110
1038,COMPUTER SYSTEM ARCHITECTURE,7564,1111
1039,FUZZY ENGINEERING,7565,1112
1040,CYBER LAWS AND IT PROTECTION,7566,1113
1041,BIOINFORMATICS AND BIOPROGRAMMING IN C,7567,1114
1042,RESEARCH METHODOLOGY,7568,1115
1043,DATASTRUCTURES ALGORITHMS AND APPLICATIONS IN C++,7569,1116
1044,SOFTWARE ENGINEERING: A PRECISE APPROACH,7570,1117
1045,ARTIFICIAL NEURAL NETWORKS,7649,1118
1046,ARTIFICIAL NEURAL NETWORKS,7650,1119
1047,HTMLXHTML AND CSS 5TH ED.,7739,1120
1048,NEURAL NETWORKS AND FUZZY LOGIC,7767,1121
1049,NEURAL NETWORKS AND FUZZY LOGIC,7768,1122
1050,GATE: COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,7769,1123
1051,ADVANCED UNIX PROGRAMMING,7770,1124
1052,ADVANCED UNIX PROGRAMMING,7771,1125
1053,APPLIED PATTERN RECOGNITION,7772,1126
1054,INTRODUCTION TO GENETIC ALGORITHMS,7773,1127
1055,INTRODUCTION TO GENETIC ALGORITHMS,7774,1128
1056,ELEMENTS OF COMPILER DESIGN,7775,1129
1057,ELEMENTS OF COMPILER DESIGN,7776,1130
